"psu","sp.map","county","spid","segment","icf1","icf2","icf2a.1","icf2a.2","icf2a.3","icf2a.4","icf2a.5","icf2a.6","icf2a.7","icf2a.8","icf2a.9","icf2a.10","icf2a.11","icf3"
"216199","216",2,16,199,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"216200","216",2,16,200,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"216200","216",2,16,200,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"216200","216",2,16,200,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"216200","216",2,16,200,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"216201","216",2,16,201,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"216201","216",2,16,201,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"216201","216",2,16,201,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"216201","216",2,16,201,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"216201","216",2,16,201,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"216197","216",2,16,197,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"216204","216",2,16,204,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"216204","216",2,16,204,0,0,0,0,0,0,0,0,1,0,0,0,0,NA
"216197","216",2,16,197,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"216197","216",2,16,197,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"216203","216",2,16,203,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"222277","222",2,22,277,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"222275","222",2,22,275,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"222280","222",2,22,280,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"222281","222",2,22,281,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"222285","222",2,22,285,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"227340","227",2,27,340,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"227340","227",2,27,340,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"228352","228",2,28,352,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"213159","213",2,13,159,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"228356","228",2,28,356,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"227341","227",2,27,341,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"227341","227",2,27,341,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"227341","227",2,27,341,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"227348","227",2,27,348,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"227348","227",2,27,348,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"227348","227",2,27,348,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"227350","227",2,27,350,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"227349","227",2,27,349,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"227349","227",2,27,349,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"227349","227",2,27,349,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"227349","227",2,27,349,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"227349","227",2,27,349,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"227349","227",2,27,349,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"227349","227",2,27,349,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"227349","227",2,27,349,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"228357","228",2,28,357,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"228358","228",2,28,358,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"228358","228",2,28,358,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"228358","228",2,28,358,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"228358","228",2,28,358,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"228358","228",2,28,358,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"228358","228",2,28,358,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"228358","228",2,28,358,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"227349","227",2,27,349,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"227344","227",2,27,344,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"227345","227",2,27,345,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"227345","227",2,27,345,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"227343","227",2,27,343,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"227342","227",2,27,342,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"211135","211",2,11,135,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"211135","211",2,11,135,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"211136","211",2,11,136,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"223298","223",2,23,298,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"224299","224",2,24,299,0,0,0,0,0,0,0,0,0,0,0,1,0,NA
"224299","224",2,24,299,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"224301","224",2,24,301,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"224300","224",2,24,300,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"224307","224",2,24,307,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
"224307","224",2,24,307,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
