cid,county,spid,segment,clan1,sname,est_pop,est_hh1,map,nsegment,nsample1,spInterval1,randomStart1,pop,est_hh2,district,clan2,vname,nvillage,spInterval2,randomStart2,coords,_coords_latitude,_coords_longitude,_coords_altitude,_coords_precision,instanceID,instanceName,_id,_uuid,_submission_time,_tags,_notes,_version,_duration,_submitted_by,_total_media,_media_count,_review_status,_review_comment,_media_all_received,_xform_id
1,Urban Montserrado,28,82,Z1600 Upper Caldwell,Segment  2,516,98,"https://www.google.co.uk/maps/place/6.39151942755257,-10.7344191557977",3,7,14,2,516,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.408045 -10.731425000000002 -101.4 5.0,6.408045,-10.731425000000002,-101.4,5.0,uuid:14e34dcb-ab68-4837-95cc-c0c5347e1b27,VF-Urban Montserrado-Sampling Point 28-Segment/Village82,34100177,14e34dcb-ab68-4837-95cc-c0c5347e1b27,2018-09-06T07:30:24,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,24,70,"Z1400 Kaba Town
",Segment  1,578,90,"https://www.google.co.uk/maps/place/6.36485731424473,-10.7192913695154",3,7,13,7,578,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.366538333333334 -10.725815 63.3 4.9,6.366538333333334,-10.725815,63.3,4.9,uuid:5d8897a2-cf4a-4638-b5b0-e858e14bf1c2,VF-Urban Montserrado-Sampling Point 24-Segment/Village70,34101516,5d8897a2-cf4a-4638-b5b0-e858e14bf1c2,2018-09-06T07:55:48,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,15,44,Z1100 Morris Farm,Segment  2,612,131,"https://www.google.co.uk/maps/place/6.31131507394503,-10.6882073570986",3,7,19,3,612,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.3123483333333334 -10.686138333333334 80.5 5.0,6.3123483333333334,-10.686138333333334,80.5,5.0,uuid:04a2232b-5767-4357-863f-d7b4cc2f8547,VF-Urban Montserrado-Sampling Point 15-Segment/Village44,34104367,04a2232b-5767-4357-863f-d7b4cc2f8547,2018-09-06T08:33:48,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,29,84,Z1600 Samukai Town,Segment  1,500,101,"https://www.google.co.uk/maps/place/6.39438223218828,-10.7236054905769",2,10,10,4,500,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.399851666666666 -10.729391666666666 30.7 5.0,6.399851666666666,-10.729391666666666,30.7,5.0,uuid:8b32a2ea-d5b7-4bde-a403-77c7874488eb,VF-Urban Montserrado-Sampling Point 29-Segment/Village84,34108104,8b32a2ea-d5b7-4bde-a403-77c7874488eb,2018-09-06T09:44:46,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,6,17,Z1100 Duport Road South,Segment  2,473,89,"https://www.google.co.uk/maps/place/6.2622508189787,-10.6636043607001",3,7,13,11,473,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.261631666666667 -10.660246666666668 31.8 4.9,6.261631666666667,-10.660246666666668,31.8,4.9,uuid:b9b2d84d-2b1d-4c0d-961c-b6c5d46aec7a,VF-Urban Montserrado-Sampling Point 6-Segment/Village17,34123843,b9b2d84d-2b1d-4c0d-961c-b6c5d46aec7a,2018-09-06T15:56:03,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,6,18,Z1100 Rehab/Borbor Town,Segment  3,527,100,"https://www.google.co.uk/maps/place/6.25340931181617,-10.6604210966139",3,7,14,10,527,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.261661666666667 -10.660485000000001 1.8 4.7,6.261661666666667,-10.660485000000001,1.8,4.7,uuid:b0318800-f965-4372-83e8-7261eb5960cc,VF-Urban Montserrado-Sampling Point 6-Segment/Village18,34126637,b0318800-f965-4372-83e8-7261eb5960cc,2018-09-06T17:36:02,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,24,72,"Z1400 Kaba Town
",Segment  3,471,66,"https://www.google.co.uk/maps/place/6.36008448233428,-10.719234030322",3,7,9,9,471,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:f80d9a7b-6fdc-4d89-883b-b69a3881acae,VF-Urban Montserrado-Sampling Point 24-Segment/Village72,34141664,f80d9a7b-6fdc-4d89-883b-b69a3881acae,2018-09-06T23:54:40,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,29,85,Z1600 Samukai Town,Segment  2,191,57,"https://www.google.co.uk/maps/place/6.39848774994427,-10.7260135914978",2,10,6,8,191,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:8b593fa8-fb5a-4812-9cdf-9444fa89325e,VF-Urban Montserrado-Sampling Point 29-Segment/Village85,34141667,8b593fa8-fb5a-4812-9cdf-9444fa89325e,2018-09-06T23:54:51,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,16,46,Z1100 Kemah Town/Omega,Segment  1,639,115,"https://www.google.co.uk/maps/place/6.32004757761171,-10.6547175796385",3,7,16,8,639,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.314011666666667 -10.686168333333335 39.4 4.7,6.314011666666667,-10.686168333333335,39.4,4.7,uuid:cff9587c-252e-4b24-8a67-e1302f059424,VF-Urban Montserrado-Sampling Point 16-Segment/Village46,34150432,cff9587c-252e-4b24-8a67-e1302f059424,2018-09-07T08:16:23,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,6,16,Z1100 Duport Road N. East,Segment  1,442,72,"https://www.google.co.uk/maps/place/6.26640561193684,-10.6592849537212",3,7,10,10,442,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.273948333333334 -10.681108333333334 -3.4 4.9,6.273948333333334,-10.681108333333334,-3.4,4.9,uuid:2aa69494-f57e-43ab-9b88-3216a4b05b40,VF-Urban Montserrado-Sampling Point 6-Segment/Village16,34156833,2aa69494-f57e-43ab-9b88-3216a4b05b40,2018-09-07T12:06:25,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
